feature,gain_importance,split_importance,mean_gain_importance,mean_split_importance
wind_speed_mph_lag_48,44919.569717645645,446,7486.594952940941,74.33333333333333
wind_speed_mph_lag_16,43835.06612586975,488,7305.8443543116255,81.33333333333333
dew_point_f_lag_8,43120.863715171814,264,7186.810619195302,44.0
wind_speed_mph_lag_24,41692.506330013275,452,6948.7510550022125,75.33333333333333
dew_point_f_lag_4,38115.64436149597,209,6352.607393582662,34.833333333333336
dew_point_f_lag_6,37297.763902664185,233,6216.293983777364,38.833333333333336
cond_drizzle_t0,13314.302824020386,39,2219.0504706700644,6.5
cond_smoke_t0,1888.5892534255981,57,314.76487557093304,9.5
cond_windy_t0,615.2323970794678,6,102.53873284657796,1.0
cond_vicinity_t0,356.1825489997864,22,59.363758166631065,3.6666666666666665
cond_shower_t0,38.9901008605957,2,6.498350143432617,0.3333333333333333
cond_heavy_t0,28.260000228881836,2,4.710000038146973,0.3333333333333333
cond_haze_t0,0.0,0,0.0,0.0
cond_dust_t0,0.0,0,0.0,0.0
wind_dir_missing_t0,0.0,0,0.0,0.0
