feature,gain_importance,split_importance
pressure_in_window_3_min,48955.78512573242,37
dew_point_f_window_24_std,48870.958251953125,78
dew_point_f_window_24_mean,48226.26803588867,71
temperature_f_lag_96,46602.8268737793,36
pressure_in_window_3_max,46328.120178222656,26
dew_point_f_window_24_min,46132.10676574707,55
humidity_pct_window_96_delta_from_mean,45397.23904418945,72
humidity_pct_window_12_std,45139.52224731445,52
pressure_in_window_6_min,44337.5486907959,40
wind_speed_mph_window_96_max,41907.36502075195,76
pressure_in_lag_96,40742.80097961426,78
dew_point_f_window_12_mean,40678.339904785156,56
wind_speed_mph_lag_1,40347.96514892578,9
pressure_in_lag_72,39888.2981262207,70
temperature_f_lag_8,39786.99298095703,19
wind_speed_mph_window_48_delta_from_mean,39200.03079223633,49
dew_point_f_window_3_min,38256.683197021484,26
humidity_pct_window_48_max,37688.04702758789,52
pressure_in_lag_32,37654.556381225586,55
humidity_pct_window_12_delta_from_mean,37524.49221801758,34
cond_light_t0,36875.00280761719,22
pressure_in_lag_6,36012.32693481445,35
wind_speed_mph_window_24_max,35549.44314575195,55
wind_speed_mph_window_3_min,35385.53204345703,27
dew_point_f_window_6_max,35255.45877075195,32
temperature_f_window_6_std,35189.165954589844,54
dew_point_f_window_3_delta_from_mean,34107.0869140625,38
pressure_in_window_48_max,32314.847045898438,60
pressure_in_lag_4,31501.582122802734,20
humidity_pct_t0,31133.921020507812,20
temperature_f_lag_72,31071.261993408203,49
temperature_f_window_3_std,30061.971954345703,29
dew_point_f_window_12_min,29086.061767578125,26
dew_point_f_window_6_min,28950.886138916016,33
pressure_in_lag_3,28944.28887939453,24
dew_point_f_window_12_std,28494.837921142578,51
humidity_pct_window_24_delta_from_mean,28305.641159057617,40
humidity_pct_window_3_min,28117.647857666016,25
wind_speed_mph_window_6_std,27950.330963134766,47
cond_mist_t0,27689.57925415039,31
temperature_f_window_96_delta_from_mean,27509.318878173828,50
dew_point_f_window_12_max,27269.837127685547,29
wind_speed_mph_window_12_min,26849.810028076172,31
humidity_pct_lag_12,26821.014068603516,33
pressure_in_window_48_min,26514.915069580078,45
humidity_pct_lag_48,26497.768920898438,49
pressure_in_window_6_max,26467.30874633789,27
pressure_in_window_24_max,26367.502960205078,42
pressure_in_t0,26018.993743896484,26
humidity_pct_window_24_max,25206.583953857422,38
wind_speed_mph_window_24_min,25101.645965576172,29
humidity_pct_window_12_max,24156.023010253906,33
pressure_in_window_6_std,23589.595916748047,44
humidity_pct_lag_32,23006.255828857422,35
dew_point_f_lag_48,21677.021911621094,37
dew_point_f_window_48_max,21597.637145996094,33
humidity_pct_lag_96,21586.302795410156,41
wind_speed_mph_window_96_min,21549.268951416016,36
temperature_f_window_48_min,20980.622100830078,29
humidity_pct_window_6_max,19099.50909423828,23
humidity_pct_lag_24,18500.841110229492,30
pressure_in_lag_8,18398.016998291016,18
dew_point_f_lag_96,18179.837005615234,34
temperature_f_window_24_min,17948.062957763672,31
temperature_f_lag_32,17314.148025512695,30
humidity_pct_window_6_min,17240.001007080078,21
dew_point_f_window_24_max,16801.108001708984,29
humidity_pct_window_96_max,15767.430938720703,26
temperature_f_lag_48,15418.335998535156,26
dew_point_f_window_6_std,15335.911987304688,30
cond_partly_cloudy_t0,15253.523895263672,24
pressure_in_lag_2,15108.562042236328,10
dew_point_f_window_6_delta_from_mean,14293.816009521484,16
wind_speed_mph_window_24_delta_from_mean,13448.419982910156,21
pressure_in_window_3_std,13427.001037597656,12
dew_point_f_lag_72,13414.96499633789,18
wind_speed_mph_window_48_min,13294.58090209961,20
humidity_pct_lag_72,12877.606994628906,26
pressure_in_lag_1,12258.04800415039,7
humidity_pct_lag_1,12011.29751586914,4
temperature_f_lag_6,11384.64810180664,13
dew_point_f_lag_32,10452.439178466797,17
cond_cloudy_t0,10423.889953613281,8
humidity_pct_lag_8,10325.452880859375,15
dew_point_f_lag_16,9519.147994995117,17
wind_speed_mph_window_12_delta_from_mean,9368.771911621094,12
humidity_pct_window_3_max,8995.608978271484,10
wind_speed_mph_lag_32,8274.43002319336,13
dew_point_f_lag_24,7834.245025634766,14
humidity_pct_window_6_delta_from_mean,7644.787017822266,13
wind_speed_mph_window_3_std,7477.475036621094,13
humidity_pct_window_6_std,7419.424957275391,15
temperature_f_lag_3,7023.044982910156,7
wind_speed_mph_lag_12,6960.109832763672,8
wind_speed_mph_lag_8,6561.484069824219,11
temperature_f_lag_4,6182.8638916015625,5
humidity_pct_lag_4,6093.184997558594,7
dew_point_f_lag_8,6078.502990722656,8
wind_speed_mph_lag_3,6011.411071777344,9
wind_speed_mph_lag_96,5899.192047119141,13
minute_cos_t0,5763.309967041016,9
wind_speed_mph_lag_6,5694.951873779297,5
wind_speed_mph_lag_48,5677.748077392578,12
wind_speed_mph_lag_4,4897.559051513672,7
dew_point_f_window_3_std,4864.522003173828,5
dew_point_f_lag_12,4594.133056640625,9
wind_speed_mph_lag_72,4280.490997314453,8
wind_speed_mph_window_6_delta_from_mean,3714.2329864501953,7
humidity_pct_lag_3,3649.0029907226562,4
humidity_pct_lag_2,3213.1889038085938,4
wind_speed_mph_lag_24,3102.5509643554688,7
humidity_pct_window_3_delta_from_mean,2877.2250061035156,6
humidity_pct_lag_6,2751.93798828125,4
wind_speed_mph_window_3_delta_from_mean,2459.8199768066406,6
dew_point_f_lag_6,2015.1350402832031,4
dew_point_f_lag_4,1986.3409729003906,5
minute_t0,1894.4849548339844,4
dew_point_f_lag_3,1660.6390075683594,2
wind_speed_mph_lag_2,1658.4469604492188,4
humidity_pct_window_3_std,1300.8019714355469,3
cond_drizzle_t0,1126.9259948730469,2
wind_speed_mph_lag_16,979.5920104980469,2
minute_sin_t0,614.8920288085938,1
wind_dir_missing_t0,0.0,0
cond_haze_t0,0.0,0
cond_dust_t0,0.0,0
cond_windy_t0,0.0,0
cond_heavy_t0,0.0,0
cond_smoke_t0,0.0,0
cond_mostly_cloudy_t0,0.0,0
cond_shower_t0,0.0,0
cond_vicinity_t0,0.0,0
