feature,gain_importance,split_importance,mean_gain_importance,mean_split_importance
humidity_pct_window_12_delta_from_mean,416518.17789030075,1812,69419.69631505013,302.0
wind_speed_mph_window_96_std,413460.96067523956,2075,68910.16011253993,345.8333333333333
temperature_f_lag_24,413096.81317806244,1077,68849.4688630104,179.5
wind_speed_mph_window_24_std,408285.6715102196,2003,68047.61191836993,333.8333333333333
temperature_f_window_48_std,402957.7493163347,1722,67159.62488605578,287.0
wind_speed_mph_window_96_mean,399623.3137688637,1867,66603.88562814395,311.1666666666667
humidity_pct_window_48_std,397417.5168147087,1712,66236.25280245145,285.3333333333333
wind_speed_mph_window_12_std,393091.4825665951,1785,65515.24709443251,297.5
humidity_pct_window_12_mean,386154.33582496643,1352,64359.055970827736,225.33333333333334
humidity_pct_window_6_mean,385542.8737401962,1185,64257.145623366036,197.5
dew_point_f_window_96_delta_from_mean,371436.22957229614,1641,61906.038262049355,273.5
pressure_in_window_96_std,358444.4226074219,1851,59740.73710123698,308.5
humidity_pct_window_96_mean,348447.8500905037,1643,58074.64168175062,273.8333333333333
dew_point_f_window_12_delta_from_mean,347391.50945711136,1503,57898.58490951856,250.5
wind_speed_mph_window_48_mean,344861.6068658829,1538,57476.93447764715,256.3333333333333
pressure_in_window_24_mean,328145.5388183594,1182,54690.92313639323,197.0
cond_fog_t0,324828.0751209259,444,54138.01252015432,74.0
humidity_pct_window_12_std,322376.22728300095,1610,53729.37121383349,268.3333333333333
wind_speed_mph_t0,318031.22219467163,1155,53005.20369911194,192.5
wind_speed_mph_window_6_std,314135.56898903847,1570,52355.928164839745,261.6666666666667
dew_point_f_window_3_delta_from_mean,313483.1513237953,1256,52247.19188729922,209.33333333333334
pressure_in_window_24_min,305584.8280043602,614,50930.804667393364,102.33333333333333
temperature_f_window_96_std,301875.3651685715,1666,50312.56086142858,277.6666666666667
pressure_in_lag_16,301103.2884159088,886,50183.88140265147,147.66666666666666
dew_point_f_window_12_mean,300172.3918738365,955,50028.731978972755,159.16666666666666
dew_point_f_window_96_std,298679.4148616791,1683,49779.90247694651,280.5
dew_point_f_window_48_std,294163.7802772522,1598,49027.296712875366,266.3333333333333
pressure_in_window_96_mean,292430.0397515297,1408,48738.33995858828,234.66666666666666
humidity_pct_window_48_mean,285814.85082530975,1283,47635.80847088496,213.83333333333334
dew_point_f_window_24_std,285121.3992571831,1586,47520.23320953051,264.3333333333333
humidity_pct_window_6_delta_from_mean,284823.1795306206,1331,47470.529921770096,221.83333333333334
temperature_f_window_24_min,283626.45798015594,685,47271.07633002599,114.16666666666667
pressure_in_window_48_mean,283206.8998775482,1226,47201.14997959137,204.33333333333334
wind_speed_mph_window_48_delta_from_mean,282662.44698905945,1465,47110.40783150991,244.16666666666666
pressure_in_lag_48,276885.95726299286,1367,46147.659543832146,227.83333333333334
pressure_in_window_6_mean,275575.58006858826,966,45929.26334476471,161.0
dew_point_f_window_6_min,275521.1758079529,510,45920.19596799215,85.0
pressure_in_lag_24,272192.7014608383,985,45365.45024347305,164.16666666666666
pressure_in_window_12_mean,271293.5418739319,979,45215.59031232198,163.16666666666666
dew_point_f_window_12_std,270817.04114437103,1577,45136.173524061836,262.8333333333333
pressure_in_window_3_mean,269368.2608771324,709,44894.710146188736,118.16666666666667
humidity_pct_lag_4,264590.90736341476,503,44098.48456056913,83.83333333333333
dew_point_f_window_48_mean,255723.72522211075,1054,42620.62087035179,175.66666666666666
humidity_pct_window_96_min,250943.6023721695,1115,41823.933728694916,185.83333333333334
dew_point_f_window_24_mean,247850.84339761734,990,41308.47389960289,165.0
pressure_in_window_6_std,244705.86634731293,1313,40784.31105788549,218.83333333333334
minute_cos_t0,243767.81303167343,961,40627.968838612236,160.16666666666666
humidity_pct_window_3_mean,239580.92958903313,767,39930.15493150552,127.83333333333333
temperature_f_lag_96,237485.0855998993,1111,39580.847599983215,185.16666666666666
humidity_pct_window_48_min,237343.31079483032,922,39557.218465805054,153.66666666666666
wind_speed_mph_window_24_delta_from_mean,236401.08032798767,1489,39400.18005466461,248.16666666666666
pressure_in_window_12_min,232760.9094734192,493,38793.484912236534,82.16666666666667
wind_speed_mph_window_12_delta_from_mean,230519.0696940422,1590,38419.844949007034,265.0
dew_point_f_window_96_max,230481.40141391754,733,38413.56690231959,122.16666666666667
temperature_f_window_96_min,229450.36814260483,788,38241.72802376747,131.33333333333334
temperature_f_window_96_delta_from_mean,225388.80752897263,1403,37564.80125482877,233.83333333333334
pressure_in_window_12_max,225062.71326637268,787,37510.45221106211,131.16666666666666
wind_speed_mph_window_6_min,218624.8312807083,645,36437.47188011805,107.5
temperature_f_lag_72,216910.13153362274,1064,36151.688588937126,177.33333333333334
wind_speed_mph_window_6_delta_from_mean,210009.76487970352,1582,35001.627479950585,263.6666666666667
wind_speed_mph_window_48_max,206332.044819355,854,34388.674136559166,142.33333333333334
humidity_pct_lag_12,206313.16993141174,857,34385.528321901955,142.83333333333334
wind_speed_mph_window_12_min,206297.7417640686,717,34382.9569606781,119.5
wind_speed_mph_window_24_max,203678.85073184967,820,33946.475121974945,136.66666666666666
pressure_in_window_96_max,198081.14438199997,893,33013.524063666664,148.83333333333334
humidity_pct_window_12_min,197058.5480132103,705,32843.09133553505,117.5
