epoch,train_loss,val_loss
1,0.06460011490888419,0.035334528383894295
2,0.03389231991172709,0.033823939946642956
3,0.030949650933228885,0.03147748844538898
4,0.029352670426438913,0.02982212018683325
5,0.028280448173966473,0.030168006463312604
6,0.02738213087564938,0.029053892158119436
7,0.026736745437785668,0.028196479703959058
8,0.026043184424512738,0.028524054077110794
9,0.025691500192490387,0.028942697255302432
10,0.025182793756242466,0.027831093059145398
11,0.024619120568985388,0.028783915834907227
12,0.02430171407786441,0.028380743907495752
13,0.02394776403135467,0.028559204092724687
14,0.02353833165720116,0.03104603110259714
15,0.02313553519688694,0.028631899898832778
16,0.022827244055101097,0.02926677870392867
17,0.022475304588915314,0.03006576064976178
18,0.02203397646044935,0.03011312578010505
