feature,gain_importance,split_importance,mean_gain_importance,mean_split_importance
temperature_f_t0,994899702.327033,13736,165816617.0545055,2289.3333333333335
temperature_f_lag_1,328334919.71365166,3931,54722486.61894194,655.1666666666666
temperature_f_window_24_mean,173033747.54167128,4260,28838957.92361188,710.0
hour_cos_t0,87669660.99794054,14645,14611610.166323423,2440.8333333333335
hour_sin_t0,57449047.83767414,15619,9574841.306279024,2603.1666666666665
hour_t0,54350759.89723492,9923,9058459.982872486,1653.8333333333333
temperature_f_window_24_max,30570244.677742004,1953,5095040.779623668,325.5
temperature_f_window_3_mean,26776829.203492165,2254,4462804.867248694,375.6666666666667
temperature_f_window_3_max,24015380.107204437,1014,4002563.3512007394,169.0
day_of_year_cos_t0,20726308.89133191,11824,3454384.8152219853,1970.6666666666667
temperature_f_lag_16,18861975.15654564,3781,3143662.52609094,630.1666666666666
temperature_f_window_6_delta_from_mean,16955548.543628693,4501,2825924.7572714486,750.1666666666666
temperature_f_window_3_delta_from_mean,15041733.656545639,5804,2506955.609424273,967.3333333333334
temperature_f_window_48_mean,13233877.027563095,1686,2205646.1712605157,281.0
cond_fair_t0,9332712.91669178,4060,1555452.1527819633,676.6666666666666
dew_point_f_t0,8767459.45682764,3193,1461243.2428046067,532.1666666666666
wind_dir_cos_t0,7392972.220888138,7666,1232162.0368146896,1277.6666666666667
dew_point_f_window_3_mean,5389860.759433746,3004,898310.126572291,500.6666666666667
temperature_f_window_3_min,4466281.958670616,1349,744380.3264451027,224.83333333333334
pressure_in_window_24_delta_from_mean,4361836.277674198,5738,726972.7129456997,956.3333333333334
dew_point_f_lag_1,3455431.122461319,1123,575905.1870768865,187.16666666666666
pressure_in_window_12_delta_from_mean,2848510.6717209816,4790,474751.7786201636,798.3333333333334
temperature_f_window_12_delta_from_mean,2612940.6217050552,2495,435490.1036175092,415.8333333333333
temperature_f_window_12_max,2217331.89722538,1584,369555.31620423,264.0
wind_dir_sin_t0,2187464.3609924316,5640,364577.3934987386,940.0
day_of_year_sin_t0,2166813.7775480747,4941,361135.6295913458,823.5
pressure_in_window_6_delta_from_mean,2123100.145772934,3896,353850.024295489,649.3333333333334
dew_point_f_lag_2,2066439.0232896805,1176,344406.50388161343,196.0
month_cos_t0,1879192.0097613335,2399,313198.66829355556,399.8333333333333
humidity_pct_lag_16,1804763.406507492,2542,300793.90108458203,423.6666666666667
temperature_f_window_12_min,1800476.5087089539,1043,300079.418118159,173.83333333333334
wind_speed_mph_window_6_max,1780269.2395067215,1778,296711.5399177869,296.3333333333333
wind_speed_mph_window_6_mean,1725386.1718125343,2788,287564.3619687557,464.6666666666667
wind_speed_mph_window_12_mean,1724523.778592348,3634,287420.62976539135,605.6666666666666
time_idx_t0,1698584.2203865051,6736,283097.37006441754,1122.6666666666667
temperature_f_window_3_std,1554359.3422613144,2258,259059.89037688574,376.3333333333333
dew_point_f_window_3_min,1522197.137834549,931,253699.52297242483,155.16666666666666
temperature_f_lag_2,1285455.6864614487,1589,214242.61441024145,264.8333333333333
temperature_f_window_96_mean,1273789.2609858513,2547,212298.21016430855,424.5
dew_point_f_window_24_delta_from_mean,1239770.0157847404,2430,206628.3359641234,405.0
humidity_pct_window_24_delta_from_mean,1207619.3991408348,3176,201269.8998568058,529.3333333333334
temperature_f_window_24_std,1131740.534500122,2805,188623.422416687,467.5
temperature_f_window_48_max,1019282.7954683304,1272,169880.4659113884,212.0
temperature_f_window_12_mean,1010687.3763628006,1785,168447.89606046677,297.5
wind_speed_mph_window_12_max,1004686.470205307,1746,167447.74503421783,291.0
wind_speed_mph_window_3_mean,993305.1336789131,1794,165550.85561315218,299.0
pressure_in_window_3_delta_from_mean,941370.3672351837,3021,156895.06120586395,503.5
wind_speed_mph_window_3_max,936291.2529830933,1407,156048.54216384888,234.5
