epoch,train_loss,val_loss
1,0.9243484336115674,0.7836563475794961
2,0.6309371249298877,0.41244777381285386
3,0.39635276477024295,0.37971633212316636
4,0.35310786569765373,0.35967730995219904
5,0.3366805264593818,0.3396192055810369
6,0.32363274068715076,0.3298758463744571
7,0.3132273697736571,0.32293726082753665
8,0.30025484241899275,0.3092384357693147
9,0.29413333344347037,0.3016716540084356
10,0.28611193687215897,0.29959894973888557
11,0.27904038959916366,0.29473963577494017
12,0.27318320736002755,0.29121113904859214
13,0.2680234766374102,0.28666795366854264
14,0.26217946923458096,0.28513748277913564
15,0.25624013176099353,0.2845294710358193
16,0.24981804958971254,0.2793740293048968
17,0.24401946152385573,0.287700962306147
18,0.239302942823753,0.2821060018761318
19,0.2359511232412259,0.2830270529130211
20,0.22959012619807015,0.28754442833650357
21,0.22558820371700933,0.2736987415097581
22,0.22021678889645524,0.2846482818119492
23,0.21596385334170462,0.28111416993054933
24,0.21324358756971312,0.28928095219093963
25,0.20907220865163811,0.2853680205641605
26,0.20629595612079396,0.2849148290671167
27,0.20368721208308818,0.2875957147421115
28,0.19768642684125243,0.29213252695054154
29,0.1953603709621947,0.29881929827976156
