epoch,train_loss,val_loss
1,0.06566672180753115,0.0380253298739286
2,0.03410966967397731,0.0326009980363036
3,0.03113173544799881,0.030336991728231302
4,0.029524386697958715,0.029931570759813477
5,0.02828573598785386,0.029319250367169643
6,0.02754972528821318,0.03033310026724239
7,0.02686179727486768,0.028586382773421945
8,0.026278247887441878,0.03004712749567195
9,0.025711969650958046,0.028125720698925348
10,0.025277531292922123,0.03019995875196011
11,0.024791587113636975,0.0296769900499826
12,0.02454939962036565,0.030314507313965428
13,0.024090229659134637,0.02856966349980317
14,0.023750186099723902,0.02944103323550822
15,0.023337941022632307,0.029952362252294366
16,0.02298903238844597,0.030397663486084702
17,0.022606432772963547,0.029751377449782748
