hora_buenos_aires,temperatura_max_f
2026-04-07 22:00,62
2026-04-07 23:00,62
2026-04-08 00:00,62
2026-04-08 01:00,62
2026-04-08 02:00,62
2026-04-08 03:00,62
2026-04-08 04:00,61
2026-04-08 05:00,61
2026-04-08 06:00,60
2026-04-08 07:00,61
2026-04-08 08:00,62
2026-04-08 09:00,64
2026-04-08 10:00,64
2026-04-08 11:00,64
