epoch,train_loss,val_loss
1,0.06607423392637447,0.03810309380463199
2,0.03409022077648484,0.03432969519872634
3,0.031282169993514214,0.032230052569474324
4,0.02949672010533693,0.030202630015684375
5,0.028357713810705346,0.030876834521623618
6,0.02756760365271254,0.028937391204483316
7,0.026945788546959573,0.02992697127094608
8,0.0262641435102504,0.02911042857091025
9,0.02577122841506421,0.02963400955682455
10,0.02531491881639954,0.028874526176104108
11,0.02486572473056743,0.0288800085696586
12,0.024519623985767396,0.03150258727237062
13,0.02406394238164444,0.03212083039959991
14,0.02379486059989579,0.029263082126386217
15,0.023384923969228356,0.02938343392316519
16,0.022965700651058418,0.029337150279865946
17,0.022667663912304497,0.029470136349320324
18,0.022254710730414,0.030698847831083814
