iteration,train_l1,train_l2,val_l1,val_l2
1,10.009402489582534,153.45378905330927,10.168964025839921,159.75993943670554
2,9.837362648831478,148.25758772801015,9.996793587268883,154.42803423843532
3,9.669626310061217,143.27689463324438,9.828603846015062,149.30487624448216
4,9.510832937183077,138.6399763656262,9.668758476713567,144.53884527844858
5,9.350152858911812,134.02368474233052,9.507851921110051,139.78097303043631
6,9.193315552352285,129.59679190873672,9.351482604230286,135.25295256864666
7,9.040188346249613,125.34425019420175,9.198335256121192,130.88812449610964
8,8.889306229341775,121.23087835126947,9.047635476869976,126.64964114583259
9,8.745618263885138,117.37147726476937,8.903224543677725,122.63613381901345
10,8.60249287145587,113.60175306099976,8.760438662296469,118.74145781316813
11,8.460912126351786,109.93138064742413,8.619105156992928,114.95185817000286
12,8.324922395782233,106.46748004641661,8.482808827126998,111.36939544077909
13,8.189776958953244,103.06538195160235,8.347853109958956,107.87661109206923
14,8.058722584670093,99.82367948695084,8.217112715377528,104.5444762259671
15,7.930282215176126,96.69321165503779,8.087965975101218,101.3065651518866
16,7.803492621242478,93.66091930455956,7.959495587154144,98.15550234333287
17,7.679801631485032,90.75273402903704,7.8359702552065755,95.15612485151578
18,7.559517290070159,87.97068383357258,7.715073495616174,92.27549371288366
19,7.440695584161663,85.25646211526326,7.594967255154527,89.4564182924297
20,7.324570115710785,82.66382057395823,7.4780598888380245,86.77558076445074
21,7.211837854679847,80.16327145701777,7.3659442718623644,84.21272584166569
22,7.1017408841816,77.75375637153935,7.2551880935038815,81.7293986732314
23,6.993960974353287,75.44819795212887,7.146444881926684,79.34294570841624
24,6.889522708997332,73.23389519087598,7.04238525706116,77.06718072114371
25,6.7864817962838355,71.09524312974659,6.940808399333745,74.90466807277829
26,6.68645495306985,69.03011220071424,6.8419592249769545,72.7979951626394
27,6.587011655782734,67.02024178509546,6.742185225512443,70.72219986642573
28,6.488001683680959,65.05251184377722,6.642629465640473,68.68093272175905
29,6.39443032226702,63.21977348894318,6.54923296799751,66.80308448090354
30,6.305733694315386,61.498786014665434,6.459694419264939,65.02574758955036
31,6.215072036701584,59.75787555215426,6.36918116825686,63.23006011267699
32,6.130248899083431,58.158148672232215,6.285665465753378,61.59952764659108
33,6.043901750818578,56.54965698256523,6.199148847794279,59.93031967889747
34,5.960194686491315,55.009592325309754,6.11616081136688,58.35321131890189
35,5.876913775594657,53.50025740794422,6.033560039832551,56.79860268847615
36,5.79750408599387,52.081758424963674,5.955070737284757,55.34037571785538
37,5.718278710549821,50.68943742642931,5.878053879180373,53.93697707169093
38,5.640043822100332,49.33640500920485,5.799661539001881,52.53927851273552
39,5.563617158298818,48.02864722071785,5.722867500371827,51.17674405919978
40,5.491016864929954,46.80347446791916,5.6514457997572904,49.92452645081591
41,5.418397042460744,45.59469200842251,5.578950415906764,48.67500098958855
42,5.3496952859084,44.46627815365264,5.510663184232653,47.51430206056079
43,5.281818421716612,43.36856684157144,5.443386375939716,46.38688000306825
44,5.21503190230356,42.30427965443666,5.379090874681268,45.31282002389685
45,5.148277979605642,41.24935459185618,5.3134783378409995,44.224131560924825
46,5.083838102583932,40.2447642244006,5.2508582516982925,43.207152492705006
47,5.023121715279171,39.30908309329071,5.192001252556141,42.259454485825785
48,4.962084917600707,38.38095593474752,5.133535474448757,41.32457035987488
49,4.901799340926551,37.47254679247004,5.076063311385815,40.422531262414985
50,4.846010616594944,36.64212051602498,5.021748876297714,39.57783442036085
51,4.788447615841712,35.79684842206213,4.967190030485722,38.7328257329319
52,4.733790501457516,35.004585340799046,4.914043366649981,37.92198743381911
53,4.679807131170827,34.22896962722913,4.862857526336034,37.13938838511677
54,4.627026331395311,33.48665379364557,4.81230210344605,36.38553473667412
55,4.5760379468538,32.77072690338311,4.7621855413613075,35.647249851171054
56,4.523768321055648,32.04802868378402,4.712431733817661,34.91898643286369
57,4.475203423785614,31.387674153276855,4.665671680907088,34.25508876760881
58,4.427417419560094,30.74327781651011,4.620498553410464,33.61325483634058
59,4.380594962216692,30.119720176828274,4.5767119672268395,32.990884247352184
60,4.335166696817598,29.51894355185756,4.532951579154864,32.378778100007544
61,4.288562164091276,28.91374343840714,4.487292991849477,31.750365225537333
62,4.24508789062073,28.352526071600177,4.446472598117484,31.189062665620202
63,4.2049321889094475,27.8327998853051,4.409807062556359,30.6812573978357
64,4.163522377830564,27.311793170011,4.370410023829389,30.154347013751625
65,4.1219438041962455,26.79101842298274,4.331953964106988,29.639940873740173
66,4.08134585548624,26.28772038735522,4.293199953743692,29.131496385933737
67,4.04164551940341,25.798205252529293,4.256102147337661,28.640555200422845
68,4.001144431607114,25.308694803730127,4.217967115528306,28.148155694558522
69,3.963769373591046,24.85846437023953,4.182799502360696,27.695959166482957
70,3.9265902644316215,24.4137262479697,4.147668096571339,27.24866784117155
71,3.8899443577176998,23.979287761709582,4.113736085023136,26.82127872281371
72,3.8567009726624524,23.591178036110712,4.082631141864965,26.43287328027181
73,3.8232893582943697,23.204511935242966,4.051436438413182,26.047183334184993
74,3.7901738529563858,22.820138408799373,4.021005776667498,25.67015682943336
75,3.7577416405596944,22.45002669371426,3.9898925266648617,25.297952329899545
76,3.7261527878260146,22.088272379829082,3.961163695253332,24.949429263799914
77,3.69573077740469,21.748202616763887,3.9329698182189534,24.618693325287197
78,3.6646322531789486,21.40281987629448,3.9035785040229243,24.275958900551252
79,3.6344795596195874,21.072115226582234,3.875325925196971,23.94730264129876
80,3.605746957467613,20.756930600242576,3.848025718052211,23.631699275689
81,3.577809518767688,20.452673761132605,3.822530551836696,23.3387990881911
82,3.550762290276779,20.16189840357199,3.7987268519385218,23.06787800954444
83,3.523733105541422,19.871800200751363,3.77465345963192,22.79222165745038
84,3.4979965935839976,19.5956531152831,3.7520148303466967,22.538504620546682
85,3.4733615433604297,19.336055853767146,3.7298096042586315,22.289340965128464
86,3.4483485443469313,19.07277185681951,3.707225437139523,22.039459966406906
87,3.4240786515108486,18.82111484968487,3.6855467687740786,21.79805283357314
88,3.400566002012534,18.578512902151022,3.664079829541676,21.559272253306776
89,3.3776036474253965,18.34380390524149,3.6438489089920254,21.335530136699347
90,3.355527842698881,18.119989854219344,3.6246973276227425,21.129095912045166
91,3.33280545844516,17.88990852225521,3.6047534359609195,20.910329901735803
92,3.3113167012577724,17.67304554602436,3.585937510110176,20.706275403334352
93,3.2900057529633777,17.460758198146365,3.56717639952161,20.504239575236692
94,3.2693632088697595,17.255124503949204,3.5480260286632763,20.3030021219739
95,3.248739463242325,17.055514076030605,3.530273988338933,20.115996977340636
96,3.2299813574359884,16.873172226772386,3.513091074284204,19.938638857375643
97,3.211486367451111,16.69206336537612,3.4971885002817378,19.770026398392282
98,3.192788452950373,16.50905917816683,3.4804581527594567,19.599016659219906
99,3.1741688669725296,16.330035101285482,3.4650163846324933,19.436747700655705
100,3.1553125241432562,16.151468771023687,3.4483470115168973,19.26860029819336
101,3.1370150276063296,15.978668170531371,3.4323992102309275,19.106356961181163
102,3.1204104757895745,15.82100985456455,3.418828906930522,18.96885041407193
103,3.1031148826137382,15.660053741865857,3.4038668195855912,18.81857802567165
104,3.0872848044329477,15.511800958028143,3.3903431324206,18.682320634936737
105,3.0710385385814,15.361147296282615,3.3765270486361914,18.543965561428525
106,3.055340894915776,15.21859220961779,3.363283424383692,18.414142840481233
107,3.0391984682452744,15.073851395676819,3.3495230899674984,18.28206624434785
108,3.0246611795874117,14.941757807611404,3.336387492412202,18.155426929505108
109,3.0095861943459834,14.80762284975275,3.3223441165827468,18.0223006673323
110,2.9944431851393873,14.672978655412104,3.3093970626514,17.89523898830989
111,2.980857041729662,14.55087478458374,3.2976549747859702,17.782799303253693
112,2.9668677705097597,14.42728792068541,3.285422322234015,17.666726846128686
113,2.95314193792822,14.305740577484007,3.27441128767151,17.56212269321015
114,2.939371237703636,14.184455808436507,3.2622505101896038,17.447951086409812
115,2.925770976002078,14.065413399613911,3.2519049792562202,17.351921186748864
116,2.913347198454031,13.958023210184432,3.2419624797648714,17.261347913321742
117,2.9006786681587395,13.848080624063117,3.2315508165851345,17.16615505623514
118,2.888144104700085,13.739938525261428,3.220197170670543,17.060735424426568
119,2.8758141114083724,13.633254105399038,3.2123911305932022,16.98798011903293
120,2.864521218104686,13.535127808984,3.2031434944605355,16.902326486181025
121,2.852813269985471,13.434157284845691,3.1932752020959474,16.812621615583847
122,2.841285419724113,13.335549987085793,3.1845421393411493,16.73412166540749
123,2.830125329250551,13.241690059989072,3.176504643174892,16.662489225929836
124,2.819482598320941,13.152665449509097,3.1670682685847646,16.57919561091895
125,2.808861233302501,13.06398675543948,3.158751812366951,16.503092987061553
126,2.798029970045615,12.972971701499436,3.1507873863962277,16.431922290553004
127,2.7876058597300295,12.885746679907077,3.142971149576249,16.36183575074639
128,2.7781805136073783,12.808384487057738,3.1354134114980003,16.296457091284527
129,2.768680457686147,12.72934431655868,3.1285140467769366,16.235188978765024
