iteration,train_l1,train_l2,val_l1,val_l2
1,10.003283356371071,153.34442040168824,10.172231593112548,159.783197946542
2,9.836751986440973,148.3570782655946,10.006193170252017,154.65458084551312
3,9.673202705104632,143.53064433211705,9.841874108290009,149.6646739673885
4,9.515034104800941,138.93810366888897,9.685403057480261,144.96658500607987
5,9.359227013135555,134.48528822739536,9.528703813908544,140.34788218737592
6,9.206103718335047,130.17515239233586,9.37491262444199,135.8952926682467
7,9.056855193809417,126.03597464708746,9.22524792294895,131.63174445769937
8,8.908397089098914,122.00574771249318,9.077151234830101,127.48403459305038
9,8.768453051383485,118.28057889090383,8.938256836397658,123.65603095701401
10,8.629937455627609,114.62266498186194,8.79972654216396,119.8807783907897
11,8.493194417246007,111.07569429735467,8.66333424178192,116.22085234341854
12,8.363270222644692,107.75361977791016,8.534275831112298,112.8170735808751
13,8.23196342638522,104.45474174430784,8.40350882886402,109.42850382147476
14,8.106865749880027,101.35083513583078,8.279972696117195,106.250477068188
15,7.982911149964998,98.31801473408856,8.153530436352348,103.05920696618905
16,7.863361160525579,95.43659700206838,8.03436273491624,100.1211980588058
17,7.746797436272204,92.66098039557649,7.918397733105925,97.26553672021676
18,7.631088802876569,89.9524349606888,7.801872584271401,94.45034160614145
19,7.516877290264385,87.32075278512504,7.688198172668752,91.74449327363496
20,7.407697923739852,84.83237225380407,7.579928614786342,89.20667742949372
21,7.2992902930283865,82.40382991430958,7.471642627569958,86.70345268204461
22,7.19292178505614,80.05640982543072,7.367135378822882,84.31412819953809
23,7.088033651038148,77.77083787320632,7.263268677703469,81.9744564069774
24,6.990222030101489,75.67371642932173,7.166764091837242,79.84115203351666
25,6.887758818476794,73.51309630600201,7.065599427250696,77.63016347441223
26,6.791725826101632,71.50447485548654,6.970579919345886,75.58133179128761
27,6.694684198143142,69.5137822602408,6.875277527028842,73.559309942258
28,6.602860119918633,67.64673825211561,6.784971636937144,71.64850122871036
29,6.513307603598167,65.85163310431238,6.696171243525048,69.80915543947405
30,6.427084152798519,64.13946534774492,6.611481592050629,68.06427180016975
31,6.343123289814735,62.50000462595875,6.529108027050601,66.39274705347736
32,6.260686837087203,60.903736586699175,6.449478847577355,64.790229875713
33,6.179336358409005,59.3583912952229,6.369295281286927,63.21544019382928
34,6.099310231754213,57.860040661040166,6.291777873886927,61.695082221213276
35,6.019547352297315,56.39211303742521,6.213449681297062,60.19318848438895
36,5.94343153463253,54.992799707136925,6.13930198819498,58.777702092489
37,5.868842382305631,53.648969614475426,6.0677537625820674,57.43175076882035
38,5.795981308162262,52.3532474144798,5.99706037447568,56.113594455443085
39,5.721623577901239,51.04590147968343,5.925350706873876,54.79736515178364
40,5.6504185533156965,49.80740219107407,5.85636973751075,53.538717180628005
41,5.581209622814939,48.62586090648055,5.7896808901706995,52.34083359412847
42,5.514998733902733,47.508320366054726,5.724701167645398,51.19228950386366
