feature,gain_importance,split_importance
pressure_in_window_96_min,118065.12173461914,279
humidity_pct_window_48_min,116822.99765014648,263
wind_speed_mph_window_96_max,112851.07283782959,265
humidity_pct_window_6_mean,110590.54862976074,159
pressure_in_window_6_min,110497.04856872559,145
pressure_in_lag_72,109643.12356948853,274
wind_speed_mph_window_24_max,108618.9309463501,212
pressure_in_window_48_max,108123.42267608643,226
wind_speed_mph_window_12_min,106533.40657043457,152
wind_speed_mph_window_6_min,106182.86845397949,143
temperature_f_lag_8,105037.8476486206,88
temperature_f_window_12_std,103827.38006591797,242
temperature_f_window_96_delta_from_mean,102424.34071731567,271
wind_speed_mph_t0,100983.43576049805,95
temperature_f_lag_72,99461.1667137146,209
dew_point_f_window_24_min,98856.8105545044,170
pressure_in_window_48_min,98269.22396850586,221
wind_speed_mph_window_48_delta_from_mean,97653.9510345459,210
humidity_pct_window_12_min,97395.64989471436,189
dew_point_f_window_24_mean,96133.19973373413,191
pressure_in_lag_12,95817.32234954834,138
humidity_pct_t0,91048.7926864624,70
pressure_in_lag_32,90728.75582504272,234
pressure_in_window_24_max,90506.05954360962,195
temperature_f_window_6_std,88783.5629272461,222
humidity_pct_lag_12,87635.20970535278,149
pressure_in_t0,85117.63063812256,126
dew_point_f_window_48_max,84571.1820640564,156
wind_speed_mph_window_6_std,83783.91218948364,200
dew_point_f_window_12_std,82611.01549911499,262
temperature_f_window_3_std,81872.42310714722,126
dew_point_f_lag_48,80494.78315734863,198
humidity_pct_window_12_std,80410.44855499268,217
temperature_f_window_24_min,79729.8406906128,146
humidity_pct_lag_96,79478.72743988037,241
pressure_in_window_6_std,78008.50986099243,202
temperature_f_window_48_min,77217.36229896545,172
dew_point_f_window_6_max,70911.48114967346,86
pressure_in_window_3_max,70644.90041542053,95
pressure_in_window_3_min,70003.27812957764,95
pressure_in_window_6_max,67691.91957473755,118
humidity_pct_window_3_min,66492.05418395996,74
wind_speed_mph_lag_1,64842.304138183594,42
cond_light_t0,62561.47570800781,42
dew_point_f_lag_72,62335.64727973938,131
wind_speed_mph_window_24_delta_from_mean,61865.194396972656,146
dew_point_f_lag_96,61521.59709739685,181
wind_speed_mph_window_3_min,60593.22339248657,86
cond_cloudy_t0,59780.691062927246,56
humidity_pct_lag_72,59452.692779541016,190
humidity_pct_lag_32,58782.04995346069,175
pressure_in_lag_8,58276.8497467041,96
dew_point_f_window_6_min,57452.011474609375,88
wind_speed_mph_window_24_min,57122.6051940918,124
humidity_pct_window_6_min,56523.50456428528,101
pressure_in_lag_2,56337.38289260864,70
dew_point_f_window_12_max,55706.83707809448,129
humidity_pct_window_24_max,55543.15563201904,145
humidity_pct_window_12_delta_from_mean,55237.286670684814,132
pressure_in_lag_6,54315.94571304321,94
temperature_f_lag_32,52154.33709144592,141
dew_point_f_window_12_min,51482.364696502686,91
humidity_pct_lag_24,50711.29883956909,157
dew_point_f_window_6_delta_from_mean,50365.94342422485,109
humidity_pct_window_3_max,50364.38277053833,45
humidity_pct_window_48_max,49067.54933929443,116
humidity_pct_lag_48,48502.63290023804,164
temperature_f_lag_48,47239.956340789795,137
wind_speed_mph_window_12_delta_from_mean,46349.53007507324,93
humidity_pct_window_96_max,46178.59371948242,106
cond_mist_t0,45960.35809326172,66
dew_point_f_window_6_std,45323.20419692993,170
dew_point_f_lag_32,44147.80617523193,109
wind_speed_mph_window_96_min,43618.0848236084,108
pressure_in_window_3_std,42875.06243133545,89
pressure_in_lag_3,41902.059673309326,67
humidity_pct_window_12_max,40657.48972320557,95
dew_point_f_window_3_delta_from_mean,40539.45399475098,82
dew_point_f_window_24_max,40385.46196746826,102
wind_speed_mph_lag_3,40192.514949798584,50
wind_speed_mph_window_48_min,40175.394748687744,109
humidity_pct_lag_2,39794.04831695557,34
temperature_f_lag_6,39289.653259277344,49
temperature_f_lag_3,35945.87568664551,45
pressure_in_lag_4,35175.20950126648,53
dew_point_f_lag_24,34364.75703048706,84
cond_partly_cloudy_t0,34091.70997619629,51
humidity_pct_window_6_max,32899.620082855225,69
humidity_pct_window_6_std,32005.2087059021,122
humidity_pct_window_6_delta_from_mean,30475.619186401367,105
humidity_pct_lag_8,29634.15305328369,74
wind_speed_mph_lag_72,27463.583171844482,83
humidity_pct_lag_6,26717.83511352539,49
wind_speed_mph_lag_6,24112.200050354004,57
wind_speed_mph_lag_32,23806.19962310791,94
humidity_pct_lag_1,23805.317543029785,20
humidity_pct_lag_4,22189.19185256958,60
dew_point_f_lag_3,20989.865154266357,34
wind_speed_mph_window_6_delta_from_mean,20590.856428146362,84
dew_point_f_lag_16,20409.117866516113,66
wind_speed_mph_lag_16,19329.23447036743,51
dew_point_f_window_3_std,18625.597846984863,47
minute_cos_t0,18380.97496032715,50
dew_point_f_lag_12,17944.42011642456,55
