epoch,train_loss,val_loss
1,0.06551346299592134,0.03603244471808972
2,0.034019374332507346,0.034200195896142545
3,0.031042123497341326,0.03414640330327761
4,0.02952662459853485,0.02960169141368798
5,0.028397024819575352,0.02918231485081636
6,0.02758780170315989,0.02998388137553489
7,0.02686604979829088,0.02858650515887268
8,0.026361597504899078,0.029722103389948462
9,0.025737388707999614,0.029196128445301967
10,0.025275910950201253,0.029106879732714613
11,0.0249004568817459,0.0288015552782886
12,0.024464870363272866,0.028648002527071052
13,0.024124877178382617,0.02962654940706469
14,0.02376166958665624,0.029365374319514845
15,0.023363773816025467,0.03064345643824681
