rank,gru_weight,lightgbm_weight,val_mae,val_rmse,val_mape,val_r2
1,0.37,0.63,2.790991680652835,3.6505540735959072,4.683864980051749,0.9192946201990689
2,0.38,0.62,2.7910505813117448,3.65026791333338,4.683372575950233,0.919307272397629
3,0.36,0.64,2.791056794840078,3.650961952348486,4.684556039189969,0.9192765846636674
4,0.39,0.61,2.7912255422621133,3.6501035001883064,4.683064644795511,0.9193145412593475
5,0.35000000000000003,0.6499999999999999,2.791243187255352,3.6514915088025353,4.685437905738798,0.9192531657914244
6,0.4,0.6,2.7914559194068156,3.6500608506125998,4.682849590163858,0.9193164267842245
7,0.34,0.6599999999999999,2.791529977083652,3.6521426900286778,4.686475929197101,0.9192243635823398
8,0.41000000000000003,0.59,2.7917404661448266,3.6501399688744502,4.682724712773682,0.91931292897226
9,0.33,0.6699999999999999,2.7919340406430515,3.6529154309831684,4.687693721481026,0.9191901780364138
10,0.42,0.5800000000000001,2.7920846985291363,3.6503408470561918,4.682694386188527,0.9193040478234541
11,0.32,0.6799999999999999,2.792450216546716,3.6538096545403307,4.689075862710163,0.9191506091536462
12,0.43,0.5700000000000001,2.792511387387371,3.6506634650582637,4.682806209865021,0.9192897833378066
13,0.44,0.56,2.7930189866733866,3.6511077906092626,4.683052116424266,0.9192701355153176
14,0.31,0.69,2.79306024186677,3.6548252715309757,4.690592357725614,0.9191056569340371
15,0.45,0.55,2.7936056624287486,3.6516737792820764,4.6834242768376955,0.919245104355987
16,0.3,0.7,2.793763228619288,3.6559621807867426,4.692255642364992,0.9190553213775866
17,0.46,0.54,2.794300491093327,3.6523613745160786,4.683965710120714,0.9192146898598151
18,0.29,0.71,2.7945808863081356,3.6572202691903293,4.694104294159334,0.9189996024842946
19,0.47000000000000003,0.53,2.7951253357076014,3.6531705076453616,4.6847191698109265,0.9191788920268016
20,0.28,0.72,2.795489287579733,3.6585994117315392,4.6961052862483275,0.918938500254161
21,0.48,0.52,2.7960651337547726,3.654101097932966,4.685659830174704,0.9191377108569466
22,0.27,0.73,2.796501510620244,3.6600994715690853,4.698284539619463,0.9188720146871859
23,0.49,0.51,2.7971309136470204,3.6551530526110785,4.6867963543210225,0.9190911463502501
24,0.26,0.74,2.7976277588907505,3.6617203000980796,4.700656667949973,0.9188001457833694
25,0.5,0.5,2.798300242688618,3.6563262669271483,4.688102832116584,0.9190391985067121
26,0.25,0.75,2.7988355253754396,3.6634617370231393,4.7031641641548605,0.9187228935427113
27,0.51,0.49,2.7995459762732744,3.6576206241958578,4.689536745128513,0.9189818673263326
28,0.24,0.76,2.8001329771346866,3.665323610437006,4.705826903959954,0.9186402579652118
29,0.52,0.48,2.8009103656352607,3.659035995856904,4.691167018159071,0.9189191528091116
30,0.23,0.77,2.8015373425819643,3.6673057369046136,4.708664427573979,0.9185522390508707
31,0.53,0.47,2.8023731410858566,3.6605722415385142,4.692964569007793,0.918851054955049
32,0.22,0.78,2.8030615143668816,3.6694079215524895,4.711697452456309,0.9184588367996881
33,0.54,0.45999999999999996,2.8039088564000063,3.662229209126625,4.694891209555503,0.918777573764145
34,0.21,0.79,2.804712890699847,3.6716299581634013,4.714934259105847,0.9183600512116641
35,0.55,0.44999999999999996,2.805520316653004,3.664006734839648,4.696944904551162,0.9186987092363995
36,0.2,0.8,2.806473723766212,3.6739716292761355,4.718351293871255,0.9182558822867984
37,0.56,0.43999999999999995,2.807238753501276,3.6659046433087314,4.699161293386071,0.9186144613718126
38,0.19,0.81,2.8083158142701756,3.6764327062903055,4.721907632159427,0.9181463300250914
39,0.5700000000000001,0.42999999999999994,2.809072522204454,3.6679227476634355,4.701569985678288,0.918524830170384
40,0.18,0.8200000000000001,2.8102408687503386,3.6790129495760575,4.725600480913112,0.9180313944265428
41,0.58,0.42000000000000004,2.8110127497807955,3.6700608496227147,4.704158450750947,0.918429815632114
42,0.17,0.83,2.8122445125724473,3.681712108588576,4.729422731589592,0.9179110754911527
43,0.59,0.41000000000000003,2.8130753445776144,3.672318739591114,4.70693473398867,0.9183294177570025
44,0.16,0.84,2.8143362726685863,3.68452992198724,4.733382432238937,0.9177853732189212
45,0.6,0.4,2.815225147835635,3.6746961967600638,4.709845071724921,0.9182236365450495
46,0.15,0.85,2.8165225783820707,3.6874661177593215,4.737496777361217,0.917654287609848
47,0.61,0.39,2.8174557091903245,3.6771929892141695,4.712880960996807,0.9181124719962549
48,0.14,0.86,2.818791870755334,3.6905204133480765,4.741743529907487,0.9175178186639334
49,0.62,0.38,2.819791534613754,3.6798088740423665,4.71609327853126,0.9179959241106189
50,0.13,0.87,2.821132841646243,3.6936925157851,4.746109019017878,0.9173759663811774
51,0.63,0.37,2.822220537123321,3.6825435974538316,4.719460515809094,0.9178739928881413
52,0.12,0.88,2.8235477495215804,3.696982121826803,4.750599262894576,0.9172287307615797
53,0.64,0.36,2.8247535046384122,3.6853968948985143,4.722996825549272,0.9177466783288223
54,0.11,0.89,2.8260544925859707,3.7003889180948684,4.75524230470373,0.9170761118051407
55,0.65,0.35,2.8273780804401434,3.688368491192165,4.72668732510554,0.9176139804326617
56,0.1,0.9,2.8286658158388587,3.7039125812205342,4.76005781342332,0.91691810951186
57,0.66,0.33999999999999997,2.8300907267760276,3.6914581006457152,4.730520574440495,0.9174758991996597
58,0.09,0.91,2.831415531875171,3.707552777992561,4.765099510280475,0.916754723881738
59,0.67,0.32999999999999996,2.8329077630874737,3.694665427198885,4.734523364422461,0.9173324346298162
60,0.08,0.92,2.834291761072565,3.7113091655087294,4.770345339039754,0.9165859549147743
61,0.68,0.31999999999999995,2.8358290278636646,3.6979901645578668,4.7387003091845745,0.9171835867231312
62,0.07,0.9299999999999999,2.8372484760635515,3.715181391330711,4.775715153589225,0.9164118026109692
63,0.6900000000000001,0.30999999999999994,2.838868234868306,3.70143199633694,4.743071250150542,0.9170293554796045
64,0.06,0.94,2.8402918133352566,3.719169093642159,4.781221666951463,0.9162322669703226
65,0.7000000000000001,0.29999999999999993,2.841996786281277,3.704990596203877,4.747596838477985,0.9168697408992366
66,0.05,0.95,2.8434141228727796,3.723271901409864,4.78684955067459,0.9160473479928345
67,0.71,0.29000000000000004,2.8452105020230984,3.708665628028982,4.752267779734137,0.916704742982027
68,0.04,0.96,2.8466420371389423,3.7274894345478113,4.792634450195417,0.9158570456785048
69,0.72,0.28,2.8485207377253543,3.7124567460376148,4.75711496825082,0.9165343617279759
70,0.03,0.97,2.8499641403920726,3.731821304083979,4.7985708817636405,0.9156613600273338
71,0.73,0.27,2.8519105437275742,3.7163635949660434,4.762107789838288,0.9163585971370833
72,0.02,0.98,2.853380494251889,3.736267112329722,4.804662372976694,0.9154602910393211
73,0.74,0.26,2.855377113177237,3.7203858102204697,4.767230429805804,0.9161774492093493
74,0.01,0.99,2.8568780101205182,3.74082645305158,4.810893498582759,0.915253838714467
75,0.75,0.25,2.8589166642650525,3.7245230180390694,4.772473052013309,0.9159909179447737
76,0.0,1.0,2.8604736794434906,3.7454989116453357,4.817287594655937,0.9150420030527713
77,0.76,0.24,2.8625411716839673,3.728774835656887,4.777857429929772,0.9157990033433566
78,0.77,0.22999999999999998,2.8662608257237587,3.7331408714734264,4.783390566683051,0.915601705405098
79,0.78,0.21999999999999997,2.8700706974453825,3.7376207252227793,4.789070796664557,0.915399024129998
80,0.79,0.20999999999999996,2.8739554689671873,3.742213988146119,4.794869200760286,0.9151909595180564
81,0.8,0.19999999999999996,2.877903197490523,3.746920243166414,4.8007667459634975,0.9149775115692733
82,0.81,0.18999999999999995,2.8819126688660957,3.7517390650651845,4.806768315589773,0.9147586802836487
83,0.8200000000000001,0.17999999999999994,2.8860229938981656,3.7566700206611516,4.812934403119427,0.9145344656611826
84,0.8300000000000001,0.16999999999999993,2.8902247439845885,3.7617126689906124,4.819251493297288,0.914304867701875
85,0.84,0.16000000000000003,2.89450692671312,3.7668665614893833,4.825693260302319,0.914069886405726
86,0.85,0.15000000000000002,2.8988712883699397,3.7721312421761475,4.832272642214998,0.9138295217727354
87,0.86,0.14,2.9032986853562437,3.7775062478370613,4.838951421874073,0.9135837738029032
88,0.87,0.13,2.9078031616581477,3.7829911082114434,4.845757998902546,0.9133326424962296
89,0.88,0.12,2.9123724216151308,3.7885853461784134,4.852670545403453,0.9130761278527145
90,0.89,0.10999999999999999,2.9170316316916813,3.7942884779443062,4.85973639677787,0.9128142298723579
91,0.9,0.09999999999999998,2.921770807666145,3.8001000132307277,4.866945975789382,0.9125469485551598
92,0.91,0.08999999999999997,2.926601345244019,3.806019455463094,4.8743116082731675,0.9122742839011202
93,0.92,0.07999999999999996,2.9315250630402714,3.812046301959505,4.881829236946266,0.911996235910239
94,0.93,0.06999999999999995,2.9365368331305035,3.8181800441198215,4.889487942330543,0.9117128045825165
95,0.9400000000000001,0.05999999999999994,2.9416251643833635,3.824420167614784,4.897270658903,0.9114239899179524
96,0.9500000000000001,0.04999999999999993,2.94678629050703,3.830766152575056,4.905171023891073,0.9111297919165467
97,0.96,0.040000000000000036,2.952043492949933,3.837217473780036,4.913227954305247,0.9108302105782996
98,0.97,0.030000000000000027,2.9573685556827622,3.843773600846327,4.921395812063327,0.9105252459032109
99,0.98,0.020000000000000018,2.962764608518247,3.8504339984157085,4.92968317684073,0.9102148978912808
100,0.99,0.010000000000000009,2.9682184159613914,3.8571981263425106,4.938063055282753,0.9098991665425091
101,1.0,0.0,2.9737280295164146,3.864065439880245,4.946533087842893,0.9095780518568961
