rank,horizon_step,gru_weight,lightgbm_weight,val_mae,val_rmse,val_mape,val_r2
1,1,0.19,0.81,1.1705521076139955,1.6120493905076319,2.000698033472339,0.9842679162582734
2,1,0.18,0.8200000000000001,1.1705634814948735,1.6121927059575933,2.0007709762657666,0.9842651188863122
3,1,0.2,0.8,1.1706222789196332,1.6119804073431154,2.000766937649664,0.9842692626508929
4,1,0.17,0.83,1.1706604619705496,1.6124103338724283,2.0009883863978284,0.9842608705350094
5,1,0.21,0.79,1.1707705092858807,1.6119857660069508,2.000971165912762,0.9842691580641708
6,1,0.16,0.84,1.1708354020195657,1.6127022441676,2.0013356720711784,0.9842551712043651
7,1,0.22,0.78,1.1709858089638723,1.6120654657577784,2.001291869110383,0.9842676024981071
8,1,0.15,0.85,1.171083159235668,1.6130683965153865,2.0018003689062795,0.9842480208943792
9,1,0.23,0.77,1.1712639806192555,1.6122194955704883,2.001717618585547,0.9842645959527018
10,1,0.14,0.86,1.1714058275253558,1.613508740372706,2.0023897977130103,0.9842394196050517
11,1,0.24,0.76,1.1716031551756798,1.6124478341438415,2.0022426499295687,0.9842601384279548
12,1,0.13,0.87,1.1717957371640941,1.6140232150159428,2.003093852724833,0.9842293673363824
13,1,0.25,0.75,1.1720107980124024,1.612750449915194,2.0028813411260957,0.9842542299238662
14,1,0.12,0.88,1.1722618576566874,1.6146117495827208,2.0039268463803244,0.9842178640883716
15,1,0.26,0.74,1.1725018388458857,1.6131273010822935,2.003655469148378,0.9842468704404361
16,1,0.11,0.89,1.1727925535477268,1.6152742631205506,2.0048697859739546,0.9842049098610193
17,1,0.27,0.73,1.173076919715709,1.6135783356321183,2.0045663683167794,0.9842380599776644
18,1,0.1,0.9,1.1733936263647644,1.6160106646422818,2.005931110166366,0.9841905046543252
19,1,0.28,0.72,1.1737189013004963,1.6141034913767083,2.0055890600200255,0.984227798535551
20,1,0.09,0.91,1.1740623206551475,1.6168208531882653,2.0070968719720375,0.9841746484682896
21,1,0.29,0.71,1.174415612759377,1.6147026959959316,2.006703255724668,0.9842160861140961
22,1,0.08,0.92,1.1747990319694774,1.6177047178951296,2.008374436364975,0.9841573413029124
23,1,0.3,0.7,1.175181394131187,1.6153758670871219,2.0079301938153225,0.9842029227132995
24,1,0.07,0.9299999999999999,1.1756206661350117,1.6186621380710613,2.0097960824382732,0.9841385831581936
25,1,0.31,0.69,1.1760192352750436,1.6161229122214993,2.0092686042947046,0.9841883083331613
26,1,0.06,0.94,1.176497385188587,1.6196929832774756,2.0113106080214522,0.9841183740341332
27,1,0.32,0.6799999999999999,1.176933416750861,1.6169437290072954,2.0107332235492508,0.9841722429736814
28,1,0.05,0.95,1.1774317266865224,1.62079711341694,2.0129223723446596,0.9840967139307312
29,1,0.33,0.6699999999999999,1.1779144990471664,1.617838205159473,2.0123080978615415,0.98415472663486
