feature,gain_importance,split_importance
pressure_in_window_96_max,102532.62549591064,375
pressure_in_window_96_min,100799.16475868225,390
pressure_in_lag_72,100514.80612945557,406
temperature_f_lag_96,100123.26127433777,334
dew_point_f_window_12_std,96889.46005249023,415
humidity_pct_window_48_delta_from_mean,96093.80784034729,329
temperature_f_window_96_delta_from_mean,95873.68106842041,370
pressure_in_window_48_min,94820.70701217651,270
humidity_pct_window_48_min,93824.63346862793,367
humidity_pct_window_6_delta_from_mean,92007.94484519958,146
wind_speed_mph_window_6_min,91855.29754638672,205
pressure_in_lag_12,87313.89236831665,184
pressure_in_window_6_std,86095.4177494049,318
wind_speed_mph_window_96_max,85429.51887321472,351
wind_speed_mph_window_48_max,85262.33365249634,294
dew_point_f_window_24_mean,84457.50972747803,251
humidity_pct_window_12_min,82661.31893730164,248
pressure_in_window_12_min,80245.40469932556,151
wind_speed_mph_window_48_delta_from_mean,78909.15120315552,243
temperature_f_lag_72,77811.35515975952,251
wind_speed_mph_window_6_std,77780.52626895905,273
humidity_pct_lag_12,76299.43780899048,177
dew_point_f_window_96_min,75945.11668395996,236
wind_speed_mph_window_24_max,75807.02110290527,247
wind_speed_mph_window_24_min,74627.16760635376,129
temperature_f_lag_32,73390.30882644653,216
wind_speed_mph_t0,73150.33715438843,121
wind_speed_mph_window_12_min,71384.17675971985,208
pressure_in_window_6_max,70530.82390594482,154
humidity_pct_lag_6,69131.54793930054,104
humidity_pct_window_6_min,68705.91935157776,165
pressure_in_lag_32,68051.95942687988,266
dew_point_f_window_48_min,67620.40787124634,214
humidity_pct_lag_24,66792.05966758728,295
humidity_pct_lag_96,66092.23845291138,336
pressure_in_window_6_min,65116.63744735718,140
temperature_f_window_24_min,63876.486125946045,193
humidity_pct_window_6_max,62426.343116760254,115
dew_point_f_lag_48,62296.855588912964,225
dew_point_f_window_6_max,61293.33685684204,127
dew_point_f_window_24_min,60983.755378723145,169
dew_point_f_window_12_min,60549.4687461853,119
humidity_pct_lag_32,56452.51041221619,254
pressure_in_window_48_max,56424.20259094238,226
cond_mist_t0,56233.65693664551,93
pressure_in_lag_8,55799.250131607056,126
humidity_pct_window_3_min,52215.44979095459,108
pressure_in_window_24_max,52051.163482666016,189
temperature_f_window_48_min,51894.83234024048,185
wind_speed_mph_window_24_delta_from_mean,50812.80359649658,194
humidity_pct_lag_72,50376.689235687256,266
pressure_in_window_3_max,49895.73795127869,113
dew_point_f_lag_96,49791.03808784485,211
dew_point_f_window_6_std,49764.99080467224,228
dew_point_f_window_48_max,49280.46160888672,157
wind_speed_mph_window_3_min,48147.82900810242,129
humidity_pct_lag_48,48060.95236778259,244
humidity_pct_window_24_max,46211.88645553589,177
pressure_in_lag_2,45681.21503829956,88
dew_point_f_window_24_max,45489.264698028564,122
pressure_in_window_3_min,45097.454692840576,93
cond_cloudy_t0,45072.555236816406,51
humidity_pct_lag_4,44838.37607574463,80
cond_partly_cloudy_t0,43891.473068237305,57
dew_point_f_window_3_delta_from_mean,43850.76444244385,127
pressure_in_t0,42955.832820892334,111
minute_cos_t0,41956.32820510864,120
wind_speed_mph_window_12_delta_from_mean,41821.60474205017,186
temperature_f_lag_3,40648.97702407837,57
temperature_f_lag_48,40237.61199760437,197
pressure_in_lag_6,40211.54379653931,115
dew_point_f_lag_72,39007.217807769775,169
humidity_pct_window_12_delta_from_mean,38616.18333721161,175
pressure_in_lag_4,38551.00380706787,103
cond_light_t0,37772.45838165283,47
humidity_pct_window_48_max,37565.54873275757,125
humidity_pct_window_12_max,37355.81512260437,131
dew_point_f_lag_32,37332.12921142578,147
humidity_pct_t0,37244.263984680176,78
humidity_pct_window_96_max,37081.00874900818,127
dew_point_f_window_12_max,37000.53329849243,113
humidity_pct_window_6_std,36786.47065162659,197
humidity_pct_lag_3,34906.1328086853,52
wind_speed_mph_lag_8,34343.5563583374,109
wind_speed_mph_lag_1,32931.25873565674,33
wind_speed_mph_window_48_min,31005.625343322754,130
dew_point_f_window_3_std,28400.199989318848,100
pressure_in_window_3_std,27007.90379714966,97
temperature_f_lag_8,25504.788146972656,92
wind_speed_mph_lag_12,25214.179428100586,93
temperature_f_lag_4,24010.012632369995,76
temperature_f_lag_6,23301.26607131958,68
humidity_pct_lag_8,23064.002115249634,113
dew_point_f_lag_3,22533.206897735596,57
wind_speed_mph_window_3_std,22351.113624572754,107
wind_speed_mph_window_6_delta_from_mean,21787.46784210205,127
wind_speed_mph_window_96_min,21730.639554977417,95
dew_point_f_lag_24,21712.615149497986,110
pressure_in_lag_3,21186.025268554688,62
humidity_pct_lag_2,19797.15022277832,39
humidity_pct_window_3_max,18850.609394073486,59
wind_speed_mph_lag_96,17675.722509384155,123
dew_point_f_lag_4,17622.523811340332,48
wind_speed_mph_lag_6,17506.06217956543,74
wind_speed_mph_lag_48,17392.07787322998,95
wind_speed_mph_lag_4,17267.097860336304,72
wind_speed_mph_window_3_delta_from_mean,17229.275318145752,91
wind_speed_mph_lag_32,17071.315948486328,109
wind_speed_mph_lag_72,17022.001609802246,97
dew_point_f_lag_12,16884.08595085144,81
dew_point_f_lag_16,16274.321033477783,64
dew_point_f_lag_8,16109.934217453003,79
wind_speed_mph_lag_24,15485.119110107422,88
minute_t0,14961.845371246338,56
pressure_in_lag_1,14590.059001922607,40
wind_speed_mph_lag_2,13215.14330291748,55
wind_speed_mph_lag_3,12963.119995117188,51
humidity_pct_lag_1,12941.115531921387,25
wind_speed_mph_lag_16,11187.910865783691,73
humidity_pct_window_3_delta_from_mean,9474.217273712158,64
humidity_pct_window_3_std,8788.797981262207,79
dew_point_f_lag_6,8681.953371047974,49
cond_drizzle_t0,5690.254043579102,14
minute_sin_t0,4886.7710037231445,19
cond_mostly_cloudy_t0,800.3570175170898,6
cond_windy_t0,74.36979675292969,1
cond_shower_t0,0.0,0
cond_dust_t0,0.0,0
cond_vicinity_t0,0.0,0
wind_dir_missing_t0,0.0,0
cond_haze_t0,0.0,0
cond_heavy_t0,0.0,0
cond_smoke_t0,0.0,0
