epoch,train_loss,val_loss
1,0.06567221798777949,0.04000065377134128
2,0.034152865926357426,0.03297681166041715
3,0.03131637029794578,0.03061681509152143
4,0.029565117145943315,0.031693485576525245
5,0.02856124595377722,0.029596683758659637
6,0.027675999367853855,0.029288532020633713
7,0.02705659653200419,0.027831343079059705
8,0.026301164047302587,0.02978388152675125
9,0.025983781820284716,0.02818901170846933
10,0.025507494891112592,0.029001473780420752
11,0.02486746774316928,0.030041346420112247
12,0.024619075324092764,0.029852794776757695
13,0.024139302872064495,0.030009589687361803
14,0.023683288732542093,0.03041538318115462
15,0.02328727314396334,0.029453216549102514
