feature,gain_importance,split_importance
humidity_pct_window_48_min,86937.70913696289,229
pressure_in_window_6_std,85104.39961242676,202
temperature_f_window_96_min,84873.05683135986,175
pressure_in_window_6_min,84623.98607254028,112
pressure_in_window_96_max,83180.52805900574,234
pressure_in_window_48_min,82984.79612731934,171
humidity_pct_window_12_std,82971.94277954102,208
dew_point_f_window_24_mean,82553.96124649048,181
pressure_in_lag_12,80028.09050750732,151
humidity_pct_window_48_delta_from_mean,77753.94470214844,215
wind_speed_mph_window_6_std,77450.14992523193,167
humidity_pct_window_12_min,76015.66324234009,154
wind_speed_mph_window_24_max,74802.37184524536,174
pressure_in_lag_72,74320.21039962769,241
temperature_f_window_96_delta_from_mean,74116.71759414673,236
wind_speed_mph_window_48_delta_from_mean,73695.66442680359,168
wind_speed_mph_window_48_max,72316.07821846008,209
pressure_in_lag_96,71612.99643707275,244
wind_speed_mph_window_24_min,71008.39574813843,109
wind_speed_mph_window_12_min,69186.68147277832,163
pressure_in_window_96_min,67903.11952400208,230
wind_speed_mph_window_6_min,66729.48992538452,149
temperature_f_window_24_min,65009.48505973816,135
temperature_f_lag_96,64579.291595458984,175
dew_point_f_window_12_min,61711.89635658264,108
humidity_pct_window_6_max,61496.99946022034,85
wind_speed_mph_window_96_max,60597.21436500549,205
wind_speed_mph_t0,57908.21368980408,85
temperature_f_lag_32,57226.53797912598,142
dew_point_f_window_48_min,57188.80595397949,144
humidity_pct_lag_12,57004.270877838135,97
humidity_pct_window_3_min,56671.13628387451,83
dew_point_f_window_24_min,56327.04289627075,114
temperature_f_lag_3,55331.73343658447,61
temperature_f_lag_72,55241.57481765747,165
dew_point_f_window_96_min,54035.3992767334,151
dew_point_f_lag_96,51893.63014411926,167
humidity_pct_lag_24,50745.937702178955,179
pressure_in_lag_32,50437.84595108032,162
cond_cloudy_t0,49281.34927368164,48
humidity_pct_lag_32,48515.11513900757,160
pressure_in_window_6_max,48412.74726867676,86
cond_mist_t0,48253.01124572754,69
wind_speed_mph_window_3_min,47892.28565406799,101
dew_point_f_window_6_std,47869.80274581909,165
dew_point_f_window_48_max,47801.782344818115,120
wind_speed_mph_window_24_delta_from_mean,47393.61068725586,132
dew_point_f_window_24_max,46902.3436126709,91
humidity_pct_window_6_min,46298.43765640259,92
humidity_pct_lag_4,46284.895500183105,48
pressure_in_window_3_max,44503.853984832764,76
pressure_in_window_24_max,44443.08704376221,123
pressure_in_lag_8,44334.98519706726,93
dew_point_f_lag_48,44308.841873168945,125
pressure_in_window_48_max,44109.58478164673,153
dew_point_f_window_3_delta_from_mean,42803.98815536499,97
humidity_pct_lag_96,42743.25297546387,178
pressure_in_window_3_min,42316.919174194336,78
temperature_f_window_48_min,40824.759815216064,131
dew_point_f_window_6_max,39784.89045715332,75
cond_light_t0,39431.785903930664,42
minute_cos_t0,39398.65673828125,88
pressure_in_lag_4,39079.593852996826,74
humidity_pct_lag_6,39026.4769153595,61
humidity_pct_lag_2,38909.70611953735,41
pressure_in_lag_6,38869.69231414795,80
pressure_in_lag_2,37899.26728057861,65
dew_point_f_window_12_max,36856.443744659424,75
humidity_pct_window_24_max,36400.56491851807,114
humidity_pct_window_48_max,36184.41033935547,95
temperature_f_lag_48,35940.062313079834,127
humidity_pct_window_12_max,35661.546825408936,84
humidity_pct_lag_72,33238.57976150513,149
humidity_pct_lag_3,33152.02088928223,35
humidity_pct_window_12_delta_from_mean,32772.58515930176,105
humidity_pct_lag_48,32761.485010147095,126
humidity_pct_t0,31919.985679626465,66
dew_point_f_lag_72,31123.05681991577,108
cond_partly_cloudy_t0,30677.297119140625,30
wind_speed_mph_window_12_delta_from_mean,30160.548858642578,114
pressure_in_t0,29227.288509368896,83
dew_point_f_window_3_std,27553.020526885986,68
wind_speed_mph_lag_1,27022.230613708496,27
humidity_pct_window_96_max,26893.417182922363,74
dew_point_f_lag_32,25819.399169921875,96
pressure_in_window_3_std,25329.02667617798,70
humidity_pct_window_6_std,24679.19083404541,115
wind_speed_mph_lag_12,23650.473810195923,60
humidity_pct_window_3_max,22704.483741760254,38
wind_speed_mph_window_48_min,21684.611808776855,75
temperature_f_lag_8,21607.9002494812,49
pressure_in_lag_3,21203.116973876953,39
wind_speed_mph_lag_6,21009.748210906982,51
humidity_pct_lag_8,20589.683235168457,76
temperature_f_lag_6,19113.23377609253,42
wind_speed_mph_lag_2,18961.869953155518,37
wind_speed_mph_lag_8,17926.169075012207,52
wind_speed_mph_window_3_std,17122.79210281372,66
dew_point_f_lag_24,16422.21692466736,60
dew_point_f_lag_3,16361.93824005127,26
wind_speed_mph_window_3_delta_from_mean,15619.21755027771,70
temperature_f_lag_4,15427.474571228027,43
dew_point_f_lag_4,15134.732189178467,39
wind_speed_mph_lag_96,14838.333629608154,84
pressure_in_lag_1,14376.620216369629,37
wind_speed_mph_window_6_delta_from_mean,14191.614374160767,72
wind_speed_mph_lag_4,14177.625312805176,52
wind_speed_mph_window_96_min,13621.807899475098,48
dew_point_f_lag_16,13487.2109375,53
