epoch,train_loss,val_loss
1,0.3781774243304394,0.2712545911340908
2,0.2305495958652244,0.22983003447843606
3,0.2167218265970704,0.21615554088675126
4,0.20930663461024698,0.21520107756795842
5,0.20820820736786208,0.22150277419034745
6,0.20621835868483146,0.21148413189807486
7,0.20377587188600574,0.2094703692796449
8,0.198870261354112,0.20491204023621487
9,0.20036748597563986,0.2109634652191548
10,0.19748470330713583,0.2061837853909927
11,0.19741872866202628,0.20339203846072873
12,0.19991449357405963,0.20908022547219343
13,0.19257476545786834,0.2035903029436628
14,0.1937363261385948,0.2048900335636722
15,0.19122660469015007,0.20305704673565111
16,0.1938942485712127,0.20198330840602885
17,0.19079125447858114,0.20387816014855537
18,0.18930643097067024,0.20597698996073988
19,0.18990554342394084,0.202143980686321
20,0.18795078914142602,0.2021050213726327
